,train_loss,train_acc,test_loss,test_acc
0,0.4052551120892167,88.45,0.1102329253964126,96.51
1,0.09071041146758944,97.25333333333333,0.06364725153078325,98.06
2,0.06666585719988992,97.90666666666667,0.07345181703567505,97.68
3,0.05494165669661015,98.30166666666666,0.05324309356044978,98.4
4,0.04680561298194031,98.50333333333333,0.0599322204280179,97.98
5,0.04149882840613524,98.685,0.05227632429014193,98.3
6,0.03810849955441275,98.81166666666667,0.04269982333702501,98.62
7,0.033676743091782556,98.95166666666667,0.039744290340022415,98.81
8,0.032216752532403914,98.955,0.04363369974467787,98.64
9,0.028334946433703104,99.105,0.04002347552806896,98.7
10,0.025502949247214322,99.2,0.044364591152989304,98.59
11,0.024413231360182787,99.21333333333334,0.03613458517895197,98.85
12,0.021744042785624817,99.33166666666666,0.03731334065974806,98.86
13,0.020227507546563477,99.36166666666666,0.041367112008447296,98.75
14,0.018197482405230402,99.42666666666666,0.04070641808713844,98.78
15,0.017703271805269954,99.41833333333334,0.04178860233565501,98.81
16,0.015692565396602732,99.525,0.03976592790335417,98.94
17,0.013650756002656028,99.58666666666667,0.0375458758064633,98.92
18,0.012912311382509263,99.59166666666667,0.042381303814945565,98.83
19,0.01129579942751055,99.65666666666667,0.04388909270764998,98.77
20,0.011829956532237703,99.64333333333333,0.044123049704212464,98.7
21,0.010355684159342975,99.70833333333333,0.047529965828871354,98.8
22,0.008998450709744551,99.735,0.04525259560519771,98.74
23,0.008429951155679495,99.765,0.04756757163479506,98.72
24,0.008283756059390725,99.75166666666667,0.05910708498708118,98.45
25,0.006804167028118779,99.82333333333334,0.04415136899276149,98.87
26,0.006393142579994068,99.82333333333334,0.04987982193044445,98.78
27,0.0053760680284540285,99.86666666666666,0.051767803062539315,98.73
28,0.004785159581382079,99.90166666666667,0.04504929317708957,98.91
29,0.004157078028207859,99.91833333333334,0.049326653570115016,98.81
30,0.003740441163848421,99.92833333333333,0.048917787344034874,98.85
31,0.0036884945729616448,99.93,0.05055443069306421,98.8
32,0.0033931460110822325,99.92666666666666,0.048954577741801585,98.86
